?? [s],Load (kN),
0,0.024414063,244.140625
144.704786,0.015258789,152.587891
144.954786,0.036621094,366.210938
145.204786,0.039672852,396.728516
145.454786,0.048828125,488.28125
145.704786,0.024414063,244.140625
145.954786,0.100708008,1007.080078
146.204786,0.045776367,457.763672
146.454786,0.085449219,854.492188
146.704786,0.091552734,915.527344
146.954786,0.122070313,1220.703125
147.204786,0.115966797,1159.667969
147.454786,0.09765625,976.5625
147.704786,0.09765625,976.5625
147.954786,0.109863281,1098.632812
148.204786,0.106811523,1068.115234
148.454786,0.12512207,1251.220703
148.704786,0.109863281,1098.632812
148.954786,0.119018555,1190.185547
149.204786,0.149536133,1495.361328
149.454786,0.183105469,1831.054688
149.704786,0.283813477,2838.134766
149.954786,0.274658203,2746.582031
150.204786,0.344848633,3448.486328
150.454786,0.415039063,4150.390625
150.704786,0.46081543,4608.154297
150.954786,0.567626953,5676.269531
151.204786,0.659179688,6591.796875
151.454786,0.756835938,7568.359375
151.704786,0.842285156,8422.851562
151.954786,0.933837891,9338.378906
152.204786,1.052856445,10528.56445
152.454786,1.150512695,11505.12695
152.704786,1.278686523,12786.86523
152.954786,1.361083984,13610.83984
153.204786,1.504516602,15045.16602
153.454786,1.644897461,16448.97461
153.704786,1.7578125,17578.125
153.954786,1.873779297,18737.79297
154.204786,2.081298828,20812.98828
154.454786,2.157592773,21575.92773
154.704786,2.255249023,22552.49023
154.954786,2.426147461,24261.47461
155.204786,2.572631836,25726.31836
155.454786,2.694702148,26947.02148
155.704786,2.835083008,28350.83008
155.954786,2.975463867,29754.63867
156.204786,3.09753418,30975.3418
156.454786,3.259277344,32592.77344
156.704786,3.381347656,33813.47656
156.954786,3.521728516,35217.28516
157.204786,3.680419922,36804.19922
157.454786,3.823852539,38238.52539
157.704786,3.973388672,39733.88672
157.954786,4.162597656,41625.97656
158.204786,4.278564453,42785.64453
158.454786,4.446411133,44464.11133
158.704786,4.620361328,46203.61328
158.954786,4.751586914,47515.86914
159.204786,4.922485352,49224.85352
159.454786,5.078125,50781.25
159.704786,5.264282227,52642.82227
159.954786,5.386352539,53863.52539
160.204786,5.541992188,55419.92188
160.454786,5.709838867,57098.38867
160.704786,5.889892578,58898.92578
160.954786,6.066894531,60668.94531
161.204786,6.213378906,62133.78906
161.454786,6.369018555,63690.18555
161.704786,6.506347656,65063.47656
161.954786,6.686401367,66864.01367
162.204786,6.890869141,68908.69141
162.454786,7.03125,70312.5
162.704786,7.189941406,71899.41406
162.954786,7.373046875,73730.46875
163.204786,7.559204102,75592.04102
163.454786,7.696533203,76965.33203
163.704786,7.867431641,78674.31641
163.954786,8.013916016,80139.16016
164.204786,8.163452148,81634.52148
164.454786,8.3984375,83984.375
164.704786,8.557128906,85571.28906
164.954786,8.670043945,86700.43945
165.204786,8.856201172,88562.01172
165.454786,9.017944336,90179.44336
165.704786,9.176635742,91766.35742
165.954786,9.329223633,93292.23633
166.204786,9.478759766,94787.59766
166.454786,9.622192383,96221.92383
166.704786,9.808349609,98083.49609
166.954786,9.957885742,99578.85742
167.204786,10.14404297,101440.4297
167.454786,10.28747559,102874.7559
167.704786,10.45227051,104522.7051
167.954786,10.58959961,105895.9961
168.204786,10.78186035,107818.6035
168.454786,10.92224121,109222.4121
168.704786,11.06872559,110687.2559
168.954786,11.20910645,112091.0645
169.204786,11.40441895,114044.1895
169.454786,11.54174805,115417.4805
169.704786,11.66687012,116668.7012
169.954786,11.80419922,118041.9922
170.204786,11.98425293,119842.5293
170.454786,12.06054688,120605.4688
170.704786,12.26806641,122680.6641
170.954786,12.42675781,124267.5781
171.204786,12.53356934,125335.6934
171.454786,12.69836426,126983.6426
171.704786,12.81433105,128143.3105
171.954786,12.9699707,129699.707
172.204786,13.12255859,131225.5859
172.454786,13.21105957,132110.5957
172.704786,13.39416504,133941.6504
172.954786,13.48876953,134887.6953
173.204786,13.61694336,136169.4336
173.454786,13.73291016,137329.1016
173.704786,13.88244629,138824.4629
173.954786,13.97094727,139709.4727
174.204786,14.08996582,140899.6582
174.454786,14.22424316,142242.4316
174.704786,14.33105469,143310.5469
174.954786,14.43481445,144348.1445
175.204786,14.53552246,145355.2246
175.454786,14.65148926,146514.8926
175.704786,14.69421387,146942.1387
175.954786,14.84680176,148468.0176
176.204786,14.92004395,149200.4395
176.454786,15.02380371,150238.0371
176.704786,15.13366699,151336.6699
176.954786,15.22521973,152252.1973
177.204786,15.29846191,152984.6191
177.454786,15.38696289,153869.6289
177.704786,15.49377441,154937.7441
177.954786,15.54870605,155487.0605
178.204786,15.60058594,156005.8594
178.454786,15.68908691,156890.8691
178.704786,15.7989502,157989.502
178.954786,15.89050293,158905.0293
179.204786,15.93322754,159332.2754
179.454786,16.02172852,160217.2852
179.704786,16.10412598,161041.2598
179.954786,16.14990234,161499.0234
180.204786,16.22924805,162292.4805
180.454786,16.28723145,162872.3145
180.704786,16.36657715,163665.7715
180.954786,16.42456055,164245.6055
181.204786,16.51000977,165100.0977
181.454786,16.6595459,166595.459
181.704786,16.61071777,166107.1777
181.954786,16.67785645,166778.5645
182.204786,16.75415039,167541.5039
182.454786,16.80297852,168029.7852
182.704786,16.85791016,168579.1016
182.954786,16.91589355,169158.9355
183.204786,16.97692871,169769.2871
183.454786,17.00439453,170043.9453
183.704786,17.08374023,170837.4023
183.954786,17.13562012,171356.2012
184.204786,17.19665527,171966.5527
184.454786,17.22106934,172210.6934
184.704786,17.2668457,172668.457
184.954786,17.29125977,172912.5977
185.204786,17.39501953,173950.1953
185.454786,17.38891602,173889.1602
185.704786,17.45605469,174560.5469
185.954786,17.51098633,175109.8633
186.204786,17.58422852,175842.2852
186.454786,17.61474609,176147.4609
186.704786,17.66052246,176605.2246
186.954786,17.68798828,176879.8828
187.204786,17.71850586,177185.0586
187.454786,17.7947998,177947.998
187.704786,17.8314209,178314.209
187.954786,17.87719727,178771.9727
188.204786,17.89245605,178924.5605
188.454786,17.9473877,179473.877
188.704786,17.98706055,179870.6055
188.954786,18.02062988,180206.2988
189.204786,18.08166504,180816.6504
189.454786,18.17321777,181732.1777
189.704786,18.1854248,181854.248
189.954786,18.1854248,181854.248
190.204786,18.24035645,182403.5645
190.454786,18.2434082,182434.082
190.704786,18.28918457,182891.8457
190.954786,18.31970215,183197.0215
191.204786,18.36853027,183685.3027
191.454786,18.39904785,183990.4785
191.704786,18.4173584,184173.584
191.954786,18.48144531,184814.4531
192.204786,18.49365234,184936.5234
192.454786,18.5546875,185546.875
192.704786,18.59741211,185974.1211
192.954786,18.62792969,186279.2969
193.204786,18.63098145,186309.8145
193.454786,18.68591309,186859.1309
193.704786,18.73779297,187377.9297
193.954786,18.76525879,187652.5879
194.204786,18.77746582,187774.6582
194.454786,18.78967285,187896.7285
194.704786,18.81103516,188110.3516
194.954786,18.87512207,188751.2207
195.204786,18.89648438,188964.8438
195.454786,18.92089844,189208.9844
195.704786,18.93920898,189392.0898
195.954786,19.00024414,190002.4414
196.204786,19.01550293,190155.0293
196.454786,19.07653809,190765.3809
196.704786,19.10705566,191070.5566
196.954786,19.10705566,191070.5566
197.204786,19.13452148,191345.2148
197.454786,19.16809082,191680.9082
197.704786,19.18640137,191864.0137
197.954786,19.25964355,192596.4355
198.204786,19.30847168,193084.7168
198.454786,19.30236816,193023.6816
198.704786,19.37255859,193725.5859
198.954786,19.38781738,193878.1738
199.204786,19.46105957,194610.5957
199.454786,19.47021484,194702.1484
199.704786,19.50073242,195007.3242
199.954786,19.51293945,195129.3945
200.204786,19.58312988,195831.2988
200.454786,19.63500977,196350.0977
200.704786,19.68383789,196838.3789
200.954786,19.68078613,196807.8613
201.204786,19.74487305,197448.7305
201.454786,19.76623535,197662.3535
201.704786,19.79980469,197998.0469
201.954786,19.85473633,198547.3633
202.204786,19.88830566,198883.0566
202.454786,19.91882324,199188.2324
202.704786,19.98291016,199829.1016
202.954786,20.00732422,200073.2422
203.204786,20.03479004,200347.9004
203.454786,20.07141113,200714.1113
203.704786,20.10192871,201019.2871
203.954786,20.11413574,201141.3574
204.204786,20.20263672,202026.3672
204.454786,20.19348145,201934.8145
204.704786,20.21484375,202148.4375
204.954786,20.28503418,202850.3418
205.204786,20.28198242,202819.8242
205.454786,20.33081055,203308.1055
205.704786,20.37963867,203796.3867
205.954786,20.38269043,203826.9043
206.204786,20.43151855,204315.1855
206.454786,20.44372559,204437.2559
206.704786,20.48950195,204895.0195
206.954786,20.51086426,205108.6426
207.204786,20.54443359,205444.3359
207.454786,20.5657959,205657.959
207.704786,20.60241699,206024.1699
207.954786,20.62072754,206207.2754
208.204786,20.64208984,206420.8984
208.454786,20.66955566,206695.5566
208.704786,20.66650391,206665.0391
208.954786,20.71838379,207183.8379
209.204786,20.73364258,207336.4258
209.454786,20.76721191,207672.1191
209.704786,20.80383301,208038.3301
209.954786,20.79162598,207916.2598
210.204786,20.80688477,208068.8477
210.454786,20.84655762,208465.5762
210.704786,20.86791992,208679.1992
210.954786,20.88623047,208862.3047
211.204786,20.91674805,209167.4805
211.454786,20.9197998,209197.998
211.704786,20.95031738,209503.1738
211.954786,20.93811035,209381.1035
212.204786,20.96252441,209625.2441
212.454786,21.00219727,210021.9727
212.704786,20.94421387,209442.1387
212.954786,21.02966309,210296.6309
213.204786,21.02966309,210296.6309
213.454786,21.05407715,210540.7715
213.704786,21.07849121,210784.9121
213.954786,21.06933594,210693.3594
214.204786,21.10595703,211059.5703
214.454786,21.07849121,210784.9121
214.704786,21.09375,210937.5
214.954786,21.07849121,210784.9121
215.204786,21.09680176,210968.0176
215.454786,21.09069824,210906.9824
215.704786,21.12121582,211212.1582
215.954786,21.10290527,211029.0527
216.204786,21.09375,210937.5
216.454786,21.12426758,211242.6758
216.704786,21.12121582,211212.1582
216.954786,21.10900879,211090.0879
217.204786,21.11816406,211181.6406
217.454786,21.11816406,211181.6406
217.704786,21.08154297,210815.4297
217.954786,21.07849121,210784.9121
218.204786,21.08459473,210845.9473
218.454786,21.06018066,210601.8066
218.704786,21.04797363,210479.7363
218.954786,21.0144043,210144.043
219.204786,20.95947266,209594.7266
219.454786,20.98999023,209899.9023
219.704786,21.00219727,210021.9727
219.954786,20.9564209,209564.209
220.204786,20.92895508,209289.5508
220.454786,20.95336914,209533.6914
220.704786,20.90454102,209045.4102
220.954786,20.90148926,209014.8926
221.204786,20.85266113,208526.6113
221.454786,20.77941895,207794.1895
221.704786,20.71533203,207153.3203
221.954786,20.6817627,206817.627
222.204786,20.67871094,206787.1094
222.454786,20.61462402,206146.2402
222.704786,20.5871582,205871.582
222.954786,20.52307129,205230.7129
223.204786,20.47729492,204772.9492
223.454786,20.44372559,204437.2559
223.704786,20.38879395,203887.9395
223.954786,20.30639648,203063.9648
224.204786,20.25146484,202514.6484
224.454786,20.20568848,202056.8848
224.704786,20.14160156,201416.0156
224.954786,20.08972168,200897.2168
225.204786,20.0378418,200378.418
225.454786,19.95849609,199584.9609
225.704786,19.94934082,199493.4082
225.954786,19.90356445,199035.6445
226.204786,19.81811523,198181.1523
226.454786,19.73571777,197357.1777
226.704786,19.67163086,196716.3086
226.954786,19.61975098,196197.5098
227.204786,19.50073242,195007.3242
227.454786,19.39697266,193969.7266
227.704786,19.31152344,193115.2344
227.954786,19.25048828,192504.8828
228.204786,19.1986084,191986.084
228.454786,19.12536621,191253.6621
228.704786,19.03686523,190368.6523
228.954786,18.89648438,188964.8438
229.204786,18.81103516,188110.3516
229.454786,18.76220703,187622.0703
229.704786,18.70727539,187072.7539
229.954786,18.58520508,185852.0508
230.204786,18.50280762,185028.0762
230.454786,18.39904785,183990.4785
230.704786,18.31970215,183197.0215
230.954786,18.25866699,182586.6699
231.204786,18.08776855,180877.6855
231.454786,17.99621582,179962.1582
231.704786,17.87719727,178771.9727
231.954786,17.76428223,177642.8223
232.204786,17.578125,175781.25
232.454786,17.38891602,173889.1602
232.704786,17.08679199,170867.9199
232.954786,16.83959961,168395.9961
233.204786,16.66564941,166656.4941
233.454786,16.58630371,165863.0371
233.704786,16.4642334,164642.334
233.954786,16.39404297,163940.4297
234.204786,16.28723145,162872.3145
234.454786,16.13464355,161346.4355
234.704786,16.00341797,160034.1797
234.954786,15.84472656,158447.2656
235.204786,15.71655273,157165.5273
235.454786,15.52429199,155242.9199
235.704786,15.39916992,153991.6992
235.954786,15.26489258,152648.9258
236.204786,15.14892578,151489.2578
236.454786,15.01159668,150115.9668
236.704786,14.88342285,148834.2285
236.954786,14.77355957,147735.5957
237.204786,14.67285156,146728.5156
237.454786,14.50195313,145019.5313
237.704786,14.35241699,143524.1699
237.954786,14.29443359,142944.3359
238.204786,14.10522461,141052.2461
238.454786,13.93127441,139312.7441
238.704786,13.73901367,137390.1367
238.954786,13.5345459,135345.459
239.204786,13.43078613,134307.8613
239.454786,13.30566406,133056.6406
239.704786,13.18054199,131805.4199
239.954786,12.93640137,129364.0137
240.204786,12.81433105,128143.3105
240.454786,12.6739502,126739.502
240.704786,12.47558594,124755.8594
240.954786,12.1673584,121673.584
241.204786,11.9934082,119934.082
241.454786,11.84082031,118408.2031
241.704786,11.77978516,117797.8516
241.954786,11.66687012,116668.7012
242.204786,11.51123047,115112.3047
242.454786,11.38916016,113891.6016
242.704786,11.3067627,113067.627
242.954786,11.14807129,111480.7129
243.204786,11.0168457,110168.457
243.454786,10.90698242,109069.8242
243.704786,10.81542969,108154.2969
243.954786,10.68115234,106811.5234
244.204786,10.50109863,105010.9863
244.454786,10.3302002,103302.002
244.704786,10.14099121,101409.9121
244.954786,9.942626953,99426.26953
245.204786,9.83581543,98358.1543
245.454786,9.674072266,96740.72266
245.704786,9.518432617,95184.32617
245.954786,9.399414063,93994.14063
246.204786,9.24987793,92498.7793
246.454786,9.08203125,90820.3125
246.704786,8.987426758,89874.26758
246.954786,8.880615234,88806.15234
247.204786,8.782958984,87829.58984
247.454786,8.66394043,86639.4043
247.704786,8.56628418,85662.8418
247.954786,8.456420898,84564.20898
248.204786,8.221435547,82214.35547
248.454786,8.050537109,80505.37109
248.704786,7.965087891,79650.87891
248.954786,7.867431641,78674.31641
249.204786,7.775878906,77758.78906
249.454786,7.690429688,76904.29688
249.704786,7.571411133,75714.11133
249.954786,7.455444336,74554.44336
250.204786,7.369995117,73699.95117
250.454786,7.244873047,72448.73047
250.704786,7.131958008,71319.58008
250.954786,7.086181641,70861.81641
251.204786,6.964111328,69641.11328
251.454786,6.875610352,68756.10352
251.704786,6.704711914,67047.11914
251.954786,6.646728516,66467.28516
252.204786,6.57043457,65704.3457
252.454786,6.533813477,65338.13477
252.704786,6.399536133,63995.36133
252.954786,6.390380859,63903.80859
253.204786,6.292724609,62927.24609
253.454786,6.216430664,62164.30664
253.704786,6.167602539,61676.02539
253.954786,6.079101563,60791.01563
254.204786,6.024169922,60241.69922
254.454786,6.011962891,60119.62891
254.704786,5.889892578,58898.92578
254.954786,5.819702148,58197.02148
255.204786,5.718994141,57189.94141
255.454786,5.667114258,56671.14258
255.704786,5.535888672,55358.88672
255.954786,5.480957031,54809.57031
256.204786,5.349731445,53497.31445
256.454786,5.313110352,53131.10352
256.704786,5.236816406,52368.16406
256.954786,5.212402344,52124.02344
257.204786,5.151367188,51513.67188
257.454786,5.114746094,51147.46094
257.704786,5.081176758,50811.76758
257.954786,5.038452148,50384.52148
258.204786,4.962158203,49621.58203
258.454786,4.937744141,49377.44141
258.704786,4.888916016,48889.16016
258.954786,4.806518555,48065.18555
259.204786,4.78515625,47851.5625
259.454786,4.724121094,47241.21094
259.704786,4.699707031,46997.07031
259.954786,4.650878906,46508.78906
260.204786,4.592895508,45928.95508
260.454786,4.565429688,45654.29688
260.704786,4.525756836,45257.56836
260.954786,4.4921875,44921.875
261.204786,4.452514648,44525.14648
261.454786,4.415893555,44158.93555
261.704786,4.406738281,44067.38281
261.954786,4.345703125,43457.03125
262.204786,4.354858398,43548.58398
262.454786,4.306030273,43060.30273
262.704786,4.281616211,42816.16211
262.954786,4.244995117,42449.95117
263.204786,4.162597656,41625.97656
263.454786,4.147338867,41473.38867
263.704786,4.104614258,41046.14258
263.954786,4.083251953,40832.51953
264.204786,4.022216797,40222.16797
264.454786,4.006958008,40069.58008
264.704786,3.964233398,39642.33398
264.954786,3.961181641,39611.81641
265.204786,3.90625,39062.5
265.454786,3.912353516,39123.53516
265.704786,3.884887695,38848.87695
265.954786,3.83605957,38360.5957
266.204786,3.851318359,38513.18359
266.454786,3.805541992,38055.41992
266.704786,3.793334961,37933.34961
266.954786,3.771972656,37719.72656
267.204786,3.784179688,37841.79688
267.454786,3.771972656,37719.72656
267.704786,3.768920898,37689.20898
267.954786,3.778076172,37780.76172
268.204786,3.756713867,37567.13867
268.454786,3.775024414,37750.24414
268.704786,3.726196289,37261.96289
268.954786,3.720092773,37200.92773
269.204786,3.73840332,37384.0332
269.454786,3.753662109,37536.62109
269.704786,3.750610352,37506.10352
269.954786,3.747558594,37475.58594
270.204786,3.750610352,37506.10352
270.454786,3.717041016,37170.41016
270.704786,3.750610352,37506.10352
270.954786,3.747558594,37475.58594
271.204786,3.765869141,37658.69141
271.454786,3.762817383,37628.17383
271.704786,3.744506836,37445.06836
271.954786,3.750610352,37506.10352
272.204786,3.707885742,37078.85742
272.454786,3.704833984,37048.33984
272.704786,3.701782227,37017.82227
272.954786,3.656005859,36560.05859
273.204786,3.674316406,36743.16406
273.454786,3.634643555,36346.43555
273.704786,3.637695313,36376.95313
273.954786,3.634643555,36346.43555
274.204786,3.646850586,36468.50586
274.454786,3.561401367,35614.01367
274.704786,3.564453125,35644.53125
274.954786,3.500366211,35003.66211
275.204786,3.463745117,34637.45117
275.454786,3.463745117,34637.45117
275.704786,3.436279297,34362.79297
275.954786,3.381347656,33813.47656
276.204786,3.344726563,33447.26563
276.454786,3.3203125,33203.125
276.704786,3.286743164,32867.43164
276.954786,3.265380859,32653.80859
277.204786,3.210449219,32104.49219
277.454786,3.201293945,32012.93945
277.704786,3.125,31250
277.954786,3.121948242,31219.48242
278.204786,3.057861328,30578.61328
278.454786,3.057861328,30578.61328
278.704786,3.02734375,30273.4375
278.954786,2.984619141,29846.19141
279.204786,2.966308594,29663.08594
279.454786,2.935791016,29357.91016
279.704786,2.880859375,28808.59375
279.954786,2.844238281,28442.38281
280.204786,2.801513672,28015.13672
280.454786,2.76184082,27618.4082
280.704786,2.709960938,27099.60938
280.954786,2.645874023,26458.74023
281.204786,2.639770508,26397.70508
281.454786,2.587890625,25878.90625
281.704786,2.554321289,25543.21289
281.954786,2.508544922,25085.44922
282.204786,2.471923828,24719.23828
282.454786,2.407836914,24078.36914
282.704786,2.401733398,24017.33398
282.954786,2.352905273,23529.05273
283.204786,2.328491211,23284.91211
283.454786,2.252197266,22521.97266
283.704786,2.224731445,22247.31445
283.954786,2.188110352,21881.10352
284.204786,2.160644531,21606.44531
284.454786,2.130126953,21301.26953
284.704786,2.069091797,20690.91797
284.954786,2.044677734,20446.77734
285.204786,1.998901367,19989.01367
285.454786,1.934814453,19348.14453
285.704786,1.889038086,18890.38086
285.954786,1.892089844,18920.89844
286.204786,1.861572266,18615.72266
286.454786,1.773071289,17730.71289
286.704786,1.766967773,17669.67773
286.954786,1.715087891,17150.87891
287.204786,1.635742188,16357.42188
287.454786,1.608276367,16082.76367
287.704786,1.547241211,15472.41211
287.954786,1.446533203,14465.33203
288.204786,1.449584961,14495.84961
288.454786,1.376342773,13763.42773
288.704786,1.336669922,13366.69922
288.954786,1.312255859,13122.55859
289.204786,1.266479492,12664.79492
289.454786,1.220703125,12207.03125
289.704786,1.141357422,11413.57422
289.954786,1.071166992,10711.66992
290.204786,1.022338867,10223.38867
290.454786,0.988769531,9887.695312
290.704786,0.930786133,9307.861328
290.954786,0.875854492,8758.544922
291.204786,0.805664063,8056.640625
291.454786,0.744628906,7446.289062
291.704786,0.695800781,6958.007812
291.954786,0.671386719,6713.867188
292.204786,0.601196289,6011.962891
292.454786,0.540161133,5401.611328
292.704786,0.46081543,4608.154297
292.954786,0.238037109,2380.371094
293.204786,0.143432617,1434.326172
293.454786,0.128173828,1281.738281
293.704786,0.09765625,976.5625
293.954786,0.018310547,183.105469
294.204786,0.030517578,305.175781
294.454786,0.018310547,183.105469
294.704786,0,0
294.954786,0.021362305,213.623047
